,0
309,"shawarma for 1.5 riyal with no pickles , nothing"
310,Food not tasty
311,i ordered beef shawarma and they have given chicken shawarma
312,طلبت شوارما وفيها واجد زيت وجافة ما فيها طحينة
313,Good
314,Yum yum
315,ممتاز
316,"First of all my expectations were high.

1. Value For Money Is High According To The Foods Quality.
2. Packaging For Fries Makes It Soggy Till The Time It Gets Delivered.
3. Taste Could Have Been Better.
4. Avoid Using Sweet Buns For Burgers.
5. Patties Inside The Burger Weren't Juicy.

These are not complaints just a feed back. Thank You."
317,I have ordered dynmite fries bit I got only fries with nothing on top
318,Kind person
319,ريحه الكيس زجاره
320,okay so i gave this a one star bc my brother got so sick. the dilivery was great tho
321,Nice
322,Moo
323,Super!
324,👍🏻
325,زين
326,"The food packaging was perfect, I was impressed with how fast my order arrived"
327,Good
328,I have orderd diet 7up and it was not as what i bave orderd also the burger was over cooked
329,I was impressed with how fast my order arrived
330,The new packing for the fries makes the fries soggy and soft it looses the fries crunchy crispy taste
331,The food portion was much smaller than price charged. I actually thought they served me the wrong order because of the baby size burger
332,شكرا  لكم
333,سر
334,حلو بس شوية وغالي🥲
335,😍👍🏻
336,الطلب غير كامل
337,Great
338,Its was not the same quantity as usal &amp; there is diffetent in the taste
339,.
340,Very nice and ordering again
341,very nice
342,Super fast!
343,Nonr
344,Risoto over priced regarding the amount of portion :) its too little
345,كل شي جيد
346,The portion was too too too small copmaring to the price.The taste was not as Dine in.
347,ممتاز
348,Good
349,
350,"Urbano Bistro NEEDS to make bigger sliders, for its price point."
351,Free nice serviecs
352,تأخير ف الوصول
353,Very good
354,good and not bad
355,Recived without fork and spoon.
356,جيد جدا
357,ممتاز
358,Good
359,🦋
360,azing
361,Good
362,"Food arrived hot and fast, quality was amazing"
363,Best tasting falafel
364,Good
365,Good
366,The cheese was not as good as last time
367,طلبت فلافل كان لذيذ وصوص الطحينيّة جيّد. عيب فلافلهم الوحيد انه مقلي فقط ، اتمنى يكون في خيارات مشويّة
368,Reduce the
369,وصول سريع
370,لذييييذ
371,Great
372,Thx
373,منقوشة الزعتر محترقه!
374,رائع
375,The food is not hot it seems like your qulity of delivering fresh hot food is becoming lower 👎🏻
376,شكرا لكم
377,"Great food , my colleauges at work loved it . Thanks"
378,ياريت حبه الفلافل تكون أكبر 😎
379,في نقص في الطلبيه
380,🌟🌟🌟🌟
381,the chips was fully with overloaded cheese.
382,Good
383,Good food &amp; service
384,Very good
385,ممتاز جداً جداً
386,ف
387,Ok
388,tasty
389,حلوة الشوارما بس جافة
390,Kxkdi
391,Good
392,Great food
393,منتاز
394,No
395,Wow
396,Cleaness
397,جيد جدا
398,The have to call then send me
399,The order didnt arrived yet
400,"My comments was not considered if you mention remarks pls see it to consider 
Thanx"
401,perfect
402,Always good
403,Thanks
404,There was an ant on one of the cupcakes.
405,I received only 9 cupcakes out of 10
406,جداً الميد لذيذ
407,Yumyyy
408,🤙🏼
409,Good
410,Ferrero cake had coconut 😢
411,تم
412,Shows item deluvered on app but it hasnt arrived till now
413,The tiramissu i orderd was rotten i had stomach pain
414,never go wrong with 99% angle cupcake
415,Delicious fast &amp; super convenient
416,Love the strawberry cakes. Best talabat rider ever!
417,The writes part ontop of the cake was smashed!!
418,Ordered the fresh strawberry cake which is 1.8 riyals and got a small fresh strawberry cupcake for 1.2 riyals. So i paid for the more expensive item and i got the cheaper one
419,"One of the best Strawberry and Cream cake in town, getting addicted to it"
420,"So frustrated, red velvet felt like im eating suger and the price is quite high and felt like if I baught it from any other shop it would be much better than this."
421,Very quick delievry
422,"I have requested for a scheduled order at 3:15, but inwas shocked to see that the food was alreqdy delivered to me by 2:45!  Whats the use of scheduled orderss if you guys wont act on the timings requested by your clients!"
423,"I have requested for a scheduled order at 3:15, but inwas shocked to see that the food was alreqdy delivered to me by 2:45!  Whats the use of scheduled orderss if you guys wont act on the timings requested by your clients!"
424,Okay
425,What the hell happened to Mai Thai? Our food was so tasteless that we could've been eating chalk and wouldn't know the difference! Absolutely disappointing. Not one dish was edible and since when is fried rice supposed to be sticky?!
426,Very little shrimp in the green curry. Very very little. 8 small shrimps lol
427,Yummu 🥲😍😍
428,
429,اَلْحَمْدُ للّهِ رَبِّ الْعَالَمِينَ good service
430,Amazing food
431,Hey Siri
432,"The restaurant has always been consistent with good food, thus the loyal Clientel. However, tonight the fish wasnt fillet as requested but they did call and say if whole fish was ok to send as already prepared. Unforunately the fish was over cooked and too crispy to be able to be enjoyed. The food was delivered hot and soup was good but the fish was a waste of money."
433,Very fast
434,Missing red curry
435,Good
436,Overpriced
437,Worst company and service as usual
438,Expensive for what you get
439,تأخير كعادتكم ،لا جديد
440,Wrong item was delivered
441,الطلب ليس ما طلبته
442,Very quick delievry
443,"I have requested for a scheduled order at 3:15, but inwas shocked to see that the food was alreqdy delivered to me by 2:45!  Whats the use of scheduled orderss if you guys wont act on the timings requested by your clients!"
444,"I have requested for a scheduled order at 3:15, but inwas shocked to see that the food was alreqdy delivered to me by 2:45!  Whats the use of scheduled orderss if you guys wont act on the timings requested by your clients!"
445,Okay
446,What the hell happened to Mai Thai? Our food was so tasteless that we could've been eating chalk and wouldn't know the difference! Absolutely disappointing. Not one dish was edible and since when is fried rice supposed to be sticky?!
447,Very little shrimp in the green curry. Very very little. 8 small shrimps lol
448,Yummu 🥲😍😍
449,
450,اَلْحَمْدُ للّهِ رَبِّ الْعَالَمِينَ good service
451,Amazing food
452,Hey Siri
453,"The restaurant has always been consistent with good food, thus the loyal Clientel. However, tonight the fish wasnt fillet as requested but they did call and say if whole fish was ok to send as already prepared. Unforunately the fish was over cooked and too crispy to be able to be enjoyed. The food was delivered hot and soup was good but the fish was a waste of money."
454,Very fast
455,Missing red curry
456,Good
457,Overpriced
458,Worst company and service as usual
459,Expensive for what you get
460,تأخير كعادتكم ،لا جديد
461,Wrong item was delivered
462,الطلب ليس ما طلبته
463,احب اطلب . اكلهم لذيذ
464,I did not recive my order since 2 hours!!
465,No
466,I am still waiting for my order and in the application it shows that it is delivered!!!!?
467,the sandwish was too salty we coulnt eat ☹️
468,👍🏻
469,رهيب
470,الشورمة كذبة
471,جميل
472,.
473,H
474,Thank you
475,ممتاز جدا
476,روعه
477,very cold and not closed properly the cover was open ... anyway .... thank you
478,I paid and i didnt get my order
479,الاكل مالح جدا ما قدرت ابدا اكله للاسف رميته اريد فلوسي
480,nice food
481,excellent
482,الاكل يصل باردا بعض الشي
483,ممتازه
484,👌🏾👌🏾👌🏾
485,Amazing quality !!! Never been disappointed !
486,I ordered iced Americano but I got hot
487,🙏🙏👌🏻👌🏻
488,F
489,.
490,
491,Order took forever to reach even though location is right next to trazo(5 minutes) coffee was cold and not pleasent
492,
493,👍🏻
494,Yummi yummi
495,Not wearing mask
496,Good
497,Good
498,❤️❤️
499,Wrong items
500,"The estimated time was 30 minutes at tge begginig, and it took more than 1 hour (traking time increased afterwards)"
501,Good
502,"Great food, it would be great if the customer can customize the mix crossant box."
503,Best croissants in town
504,The food arrived messy
505,T
506,V
507,
508,العصير م في طعم مبالغ حرام اخذتوها
509,
510,T
511,"Orange Tamarind drinks did not have enough tamarind zing to it, tasted more like orange juice.  Tamarind Mint also was not 'chatpata"" enough. A bit disappointed."
512,I
513,Perfect
514,ليش ما وصل طلبي للحين !!؟؟
515,G
516,Gteat
517,Good
518,"Tropical is tropical. It's already known.
I had 4 ice-cream orders with special notes, and they didn't miss any of them.. Excellent."
519,روعه ف الوقت المناسب
520,Good experience.
521,شكرا
522,I wish they ask before belivery
523,Fresh! Thanks
524,I never got the order
525,It test bad
526,♥️
527,رئع
528,الحمدلله
529,Bbcckogvuvh
530,حمدالله
531,
532,Thanks
533,ت
534,M
535,استغفرالله .. الحمدلله .. لا إله الا االله ..االله اكبر 🤍 اللهم صل وسلم على سيدنا محمد 🤍
536,V
537,There is no delivey option remove it from the feedback pleasr
538,ممتز
539,ً
540,🤩
541,دعواتكم لي بالتوفيق🤍
542,شكرا
543,جزاهم الله خير وجزاكم الله خير افضل تطبيق
544,شكرا
545,amazing
546,باركو ل ريان نجحت وطلعت ليسن 😔❤️❤️
547,ب
548,وي
549,ت
550,جيد جداً
551,ربي يتقبل
552,Bery delicious
553,ممتاز
554,G
555,نتمنى انه نتأكد بطريقة انه الفلوس وصل للفريق الخيري
556,شكرا لكم
557,اين الطلب
558,كان تغليف الطلب ممتاز
559,😍
560,وقت التوصيل كان سريع جداً
561,كان تغليف الطلب ممتاز
562,"كان تغليف الطلب ممتاز, وقت التوصيل كان سريع جداً, حسيت ان نوعية الأكل كانت ممتازة بالنسبة للسعر, كان الأكل لذيذ جداً وفاق توقعاتي"
563,I felt I got great quality for the amount I paid
564,جيد
565,Excellent food
566,Excellent food
567,"Rider had our order, didn't deliver it and went to pick up another order from a different restaurant. Food arrived cold. When we asked him why he's picking up another order  he said he couldnt find our address!"
568,Food was amazing ! 5/5
569,Excelent
570,"As usual. food is amazing, fresh and reaches on time"
571,Best and only AUTHENTIC Turkish food in Oman
572,Excellent packing
573,The food arrived right on time and tasted super great. What's even better is that they provide you with a complementary cheese pie and lahamacun. Will definitely order again from this restaurant. Best Turkish food in Muscat.
574,"I didn’t receive my 2nd drink, The food packaging was perfect"
575,القيمه مقابل الطلب صفر
576,كان تغليف الطلب ممتاز
577,👍🏻
578,This my first time I use talabat excellent job
579,لا انصح بالتعامل مع المطعم
580,الأكل كان طيب
581,كان تغليف الطلب ممتاز
582,"حبيت طريقة تغليف طلبي, طلبي وصل بوقت أسرع من المعتاد"
583,Poor service
584,Amazing!
585,"The order is wrong, I want cold and it arrived hot"
586,
587,Good
588,Missing item
589,how come u bring coffe without sugar .yyyyyy
590,كل شي ممتاز
591,ridiculously small size for a 2.5 OMR fajita. did they forget to pack the other half of it???
592,Pleasant
593,Good
594,👍🏻
595,"ordered chilled tea, got a hot one lol. due to my tooth removal i cannot drink it and thats why i ordered an iced version, frustrating."
596,good
597,good
598,good
599,I ordered Americano. I have been given Capuccino.
600,They ignored the special request which was very important. There is also no small size listed in the menu!!!!
601,Good
602,🙏🏻
603,"Messy packaging, coffee is all dripped over the cup and cup holder. No foam at all in coffee so watery. Too much sugar , really bad experience wont order second cup online next time."
604,العيش غير كافي
605,😍
606,More litle money but its the best fresh food
607,very good thank you
608,"Not A happy customer, when delivered the food was spilled in the bags and all over the place"
609,Great
610,Most of the meat was bones and very chewy
611,ممتاز
612,Good good great
613,￼
614,packaging could be improved
615,Nice
616,Wrong order was delivered
617,🔥🤤🤤👌🏻
618,Food quality is not as expected
619,وصلني الأكل بارد بعد انتظار ساعه و نصف
620,الاكل غالي ع الفاضي ما يستاهل كل هاذي القيمه للاسف
621,Please don’t order as they changed the way of cooking. Rice is burned and the chicken was dry and burned 0/10
622,WRONG ORDER DELIVERED
623,The food I received smells bad
624,Good approach
625,ممتاز
626,Great in following additional instructions :)
627,.
628,Wow
629,وصلت لي القهوه نص الكوب فقط
630,Overly priced compared to other coffee outlets
631,super tasty 😋😍
632,Very polite drver
633,Im still not get my oder he speaking not good and not give my oder still now
634,"Superb taste &amp; quality ,, keep rocking🔥🤩🔥- perfect Timing 🚙"
635,"The food packaging was perfect, I was impressed with how fast my order arrived, I felt I got great quality for the amount I paid, Food was delicious and surpassed my expectations"
636,Fast delive
637,Coffee and food not delivered hot
638,Awesome sandwiches!
639,V good
640,It was verry fast
641,Good
642,Good job
643,
644,This is not Not right from your side I'm paying you and I've done a small request and you have ignored it and not even said that we cannot provide Makes us very upset and mad and even Disappointed  from your service
645,Good
646,ممتاز
647,I’ve cream all water
648,I never got my order
649,"This is the second time they brought me the wrong order, not going to order from McDonald's again."
650,Great
651,McDonalds continuosly doesnt adhere to customer instructions. Always doesnt read the requests
652,"It was spicy and very cold, very dissapointing . We didnt eat it"
653,الكولا مره ساخن ولا يوجد فيه ثلج رغم المسافه جدا قريبه
654,👍🏻
655,Wrong order
656,"This is the third time, i chiose large meal and they gave small and rather than the special request they gave all chikcen wings which i never mentioned ! Who gives 3 wings on a special request of 1 leg and 2 thighs?

Not at all nice"
657,سي
658,.
659,ممتاز
660,Aaa
661,Creative staff love it
662,لذيذ وعلى الطلب
663,Wrong label
664,Good
665,تجربه ممتعه
666,Wrong item
667,Good job
668,On time
669,wrong item delivered
670,Ok
671,"tasteless sandwich and wrap it was not prepared as we normally have. No mustard sauce no ranch sauce.  , It wasn’t great value for money"
672,Prompt
673,HSBC ENTERTAINER SHOULD BE USED.
674,.
675,He dos not folw the instractions
676,🥰
677,Good service. Keep it up!
678,Wow
679,They messed up the entire order.
680,Great
681,No comment
682,كفو🥺
683,Thanks
684,ممتازه
685,🤝
686,The bag smells like a cigarette
687,Hhg
688,.
689,One missing item
690,ممتاز جدا
691,I love u 🥺🤍
692,💓
693,"order was completly messed up, the juice was spilled inside the bag and the pancake box was agressively moved all pancakes stuck together"
694,good
695,سريع
696,عدلوا  اسلوب عمال
697,the rider smells like segregated
698,ممتاز
699,الطلبية ناقصة
700,⭐️⭐️⭐️⭐️⭐️
701,Nice
702,Perfect and fresh
703,Excellent food
704,Creole sub and chicken sandwich were too small. The taste of the burger patties are tasetless. A waste of money.
705,شي من الاخر
706,لذيذ
707,My order isn't delivered and it says it has been delivered
708,مع الاسف  جودتهم مو مثل زمان ، هذي الفرصة الثالثة اعطيهم ولكن نفس النتيجة ، يبدو اني بتوقف اطلب منهم .. الله يرحم ايام ٢٠١٩ كانوا روعة
709,Excellent food
710,good
711,The source in the burger is allot.
712,Five stars
713,very good service
714,Amazing
715,Very good
716,"I ordered and paid for a burger, but received a slider"
717,Good job!
718,ordered 3 sandwiches only received 2
719,G
720,Its nowhere near wagamama standards. The chilli squid is so hard and feels like its been there for two days. The Bang Bang Shrip is really bad. And the chicken katsu is just not the same as any other country
721,Hiid
722,The rider couldnt find my location and was not being cooperative. He expected me to go his location when i specifically told him that i couldnt go outside. He marked the order delivered while he still was trying to find my house. Extremely inconveinient and unhelpful interaction.  Super disappointed
723,"Beef is little chevy but tastes good. 
Noodle is good"
724,Verygood
725,
726,Great
727,Excellent food
728,.
729,Very. Good
730,Good
731,❤️☺️
732,Best food ever!
733,Good
734,The noodles was supwr dry and it was missing the pickled ginger. Lacked in taste as well as it was almoat burnt.
735,Order jot delvired and falsly stated eeivlred
736,Sooooooo goooooood🔥
737,"Great, fast and excellent"
738,Amazing. Hot fresh and tastyy
739,Good quick and expected
740,the worst chicken katsu curry I've ever had. Extremely overpriced.
741,they ignored my notes
742,I love it
743,"I have ordered 2 regular karak, received big cups half filled only! 👎🏻"
744,👍🏻
745,F
746,The prata was dry they increase the price but at the same time the qulity of the food decrease
747,Good
748,"Guys I have written in both English and Arabic without onion, it can basically onion sandwich😒"
749,The tea not hot as it was expected.
750,Good
751,"عدم اكتمل الطلب التي استلمته 

عدم وجود شاي كرك والقهوة كابتشينو"
752,جيد جدا
753,👍👍
754,"The food packaging was perfect, I was impressed with how fast my order arrived, I felt I got great quality for the amount I paid, Food was delicious and surpassed my expectations"
755,Amazing
756,thanks a lot
757,The Mishkak was too chewy.
758,Tea was with sugar whereas we ordered without Sugar
759,I did not receive
760,Food quality should definitely be improved
761,The food packaging was perfect
762,الطلب مختلف عن الي حددته
763,طلبي خطا
764,I
765,Ok
766,ممتاز جدا جدا جدا والاكل ساخن وجميل بصراحة روووووعه
767,التأخيييييير
768,Perfect
769,Perfect
770,Good
771,Perfect
772,السأئق ممتاز
773,Sorry but the food and the pictures don't match. Croissant is actually thick samoon and the cheese is the cheap type. Sorry but not ordering from this again due to the lack of credibility of the pictures and their description. It's deceiving.
774,👏🏻👏🏻👏🏻🔥
775,Tasty
776,Good ok
777,
778,رائع
779,❤️
780,زد
781,💕
782,May Allah accept our charity....Aameen
783,G
784,من ميزان حسناتكم
785,Su
786,￼
787,👍🏻
788,May god bless you for the good work which you are doing.
789,ز
790,ممتاز
791,ok
792,Good
793,ممتاز
794,KEEP UP THE GOOD WORK.MAY GOD BLESS YOU.
795,🌹
796,دار العطاء ما يوصل اكل ود الحلال
797,Goid
798,Good
799,This will be last time i will order this salat full cabbage.
800,Hh
801,.
802,Great
803,👍🏻
804,
805,برنامج رائع
806,"Fast ⭐️⭐️⭐️⭐️⭐️👍🏻
🍔"
807,J
808,M
809,جيد
810,
811,Took too long and food was cold and soggy
812,Quick
813,كل شي ممتاز فقط اتمنا ان ارى عروضات افضل واحسن
814,None
815,WOW
816,Excllent
817,"Fries were cold, drink was different of what i ordered."
818,nice talking
819,You forgot to add the shrimps and sauteed mashrooms. I am really disapponted!!
820,Everything was stale and dry. The fries ans zuchini chips tadted dead. The burger tasted like cardboard with no sauce. Last time i ordered they had missing items. This was the last strike for park burger they used to be good but clearly something went wrong.
821,it good
822,The meal was so small
823,"Portion extremely small for which price is high, picture shown does not resemble real size at all. Very disappointed"
824,Amazing taste always.
825,My order is misidng an item
826,
827,Food was not even average taste.
828,👌🏼👌🏼👌🏼👌🏼
829,جميل جدا
830,"As always: Good, filling and fresh"
831,I have ordred 36 pcs and i receive only 21 pcs!
832,"the fries was fresh only, but the burger sandwich is full of oil and can't test sth else just oil!! .. and they didn't put katchup bags!!"
833,"The burger taste very bad , not like befor ,beef  totaly differnt than before ,"
834,Great
835,"Ordered loaded friesand some ingredients mentioned in the description and shown in the picture were missing, the restaurant didn't call to ask me if I still want it or not with the missing ingredient"
836,المطعم لايتلزم بحجم الطلب
837,ً
838,M
839,Tasty
840,"Fabulous ice cream. Super speedy, special service. A1!"
841,Packing has become too small
842,🐐
843,Fast
844,Awesome
845,👌🏼
846,❤️
847,Awesome!
848,You didnt bring us the extra hot fudge
849,
850,👍🏻 fast delevary
851,Very fast
852,Great as usual ☺️
853,Awesome
854,Great service!
855,Taking more than 4 hr
856,جيد
857,طلب لذيذ مثل مابغيته شكرا🥺
858,Good
859,Perfect
860,جميل
861,هل تم توصيل الأمانة إلى الجمعية؟
862,بالتوفيق❤️
863,ا
864,
865,ت
866,👍
867,
868,
869,Gr8
870,gg
871,👍🏻
