,0
74,ممتاز
75,ممتاز
76,ممتاز
77,الطعم غير جيد
78,I ordered the same as before but when it arrived it wasnt what i thought id ordered
79,Excelent
80,Good
81,"Really delicious and flavorful food, we loved the kebab, mutabal, hummus, and ouzi"
82,رائع
83,Great
84,Good
85,الاكل سئ جداااااا باررردددد ومب فرش اطلاقاً والطماطم الي فيه خيااس
86,Good taste of food
87,لا انصح به
88,لذيذ
89,ممتازه
90,طلب خاطئ
91,ممتاز
92,جيد
93,french fries are missing
94,ممتاز
95,The burger is small
96,"The  pasta was vey spicy(hot) , need to have options"
97,Tasty 👍🔥
98,Good
99,half of the burger was Mayonees
100,لم يكن الطعام جيدا و قيمته اعلى بكثير عن المتوقع منه.
101,❌❌❌بارد جدا والدجاج يوجد به سواد ولا يوجد به ملح ولا طعم  وبالمختصر خسرت ٣ ريال بدون فايده لاني لم استطع تناول الوحبه ولا انصح به اي احد
102,من افضل المطاعم
103,👍🏻
104,الاكل ف الصور حلو وشكله لذيذ ف الواقع الطعم استغفر الله يمشي الحال وللاسف مطعم شكله راقي ومرتب اخر شي يقدموا ورق عنب معلب وطعمه م ينوكل واسعار مرتفعه ع الفاضي
105,المطعم سيء اشتريت مكبوس لحم جاب لي مكبوس فحم مو لحم كله محروق لدرجة صاير فحم قسم بالله
106,عدم توفير الملاعق من قبل المطعم
107,
108,Nice
109,The Portion for its price was shockingky small
110,The packaging was good. The dolma was toooo salty and samosa too. Overpriced.
111,بصراحه اطيب مكبوس كويتي في مسقط. لذيذ نظيف و يوصل دايما ساخن 👍👍👍👍
112,شكرا
113,الجريش ماااااالح وكبسة الربيان لذيذذه جدددا😍😋
114,ممتاز
115,Kebba was very good. Mix grill is normal and of small portion.
116,Meat was extremely dry
117,👌🏻
118,
119,السعر مرتفع
120,Best
121,Love
122,Best coffee
123,Hi to much help full and kind
124,Best coffee ever
125,جيد
126,تم تجاهل ملاحظتي
127,I ordered an iced drink but it strived without a straw !
128,The coffee came cold
129,ممتاز
130,التغليف لم يكن جيد
131,I recive it not covered or in bag it was not have extra cousion regrad covid 19 which i expected the top of the cup to be coverd  with plastic wrap thank you
132,Very good
133,Good
134,The best cappuccino youll ever have 🙏🏻😎
135,I ordered hot spanish latte but i recive cold one
136,Nice coffee
137,Good
138,Good👍🌸
139,Nice
140,سيء و قهوة ساخنة ما فيه
141,Delicious
142,
143,We didnt get the food
144,👍🏽
145,Wow
146,Excellent food and service!!!!
147,"Ordered mixed fried seafood, which cost 6 rials. Put only two prawns and 6 pieces of sequid."
148,THE BEST THAI RESTURANT. always do the requests and it always tastes good. easily my fav noodles!!!
149,Amazing food as always
150,
151,"I order tum yum seafood only one shrimp ,one pice fish😒"
152,"The souce was missing with the meal also frid rice supose coke with vegetable but there is no vegetable , Quantity was less than i expect comparing with the price"
153,شكرا
154,"My recent orders of food is not ""Thai Spicy"" anymore. It's very dissappointing."
155,Thank you 🙏
156,Many thanks for being so reliable every time. Hot. Fresh. Delicious.
157,Tom yum was not that good as usual
158,"Always delicious, fresh, hot and very tasty 👍🏻 Thank you 🙏"
159,Na
160,جيد
161,Excellent
162,not good i came outside and u wasnt there for 5 mins
163,Cool
164,Thanks
165,Please needs to arrive while
166,
167,ممتازة
168,لل يوجد
169,ممتازة
170,Very good
171,شكرا
172,ممتاز
173,ا
174,Super good and nice
175,The rider is perfect
176,لذيذ
177,Please make sure to include spoon
178,Please next time give us spoons
179,Good
180,Hi ffhgcdc
181,شكرا
182,Anazing
183,Ok
184,good
185,It's really very small😞
186,واو
187,لذيذ
188,Not happy with the timing procress
189,Nil
190,Thanks
191,Perfect
192,Sent me order to the wrong home even though he was right in front of my house and aked me to come out then gives my order to the Neighbor opposite my house
193,لذيذ
194,Thank you
195,👍
196,
197,حلو
198,ممتاز
199,رائع رائع رائع
200,M
201,￼
202,Good
203,Always very tasty and Lactose free
204,Was cery bad improve please
205,رهيب
206,Great
207,The server called to clarify our order and we were so thrilled
208,Great service as always
209,Awesome
210,Clod stone is always great
211,so good
212,NA
213,Excellant
214,No thoughts
215,Was fast thanks
216,Great service
217,Great stuff
218,Thanks
219,Ok
220,ممتاز
221,Great service and product
222,M
223,طلب مختلف عن طلبي
224,Great service and product
225,Great product and service excellent
226,why don't u add the new capsuls so we can order from talbat.  thank you 😊
227,Good
228,So quick!
229,Great service
230,Good
231,"Taste is average-good, cookies were way too small for the price(quarter of the size of subway cookies). I had a 50% discount and i still feel that its too expensive lol"
232,good
233,الحمدلله متعوده اطلب منهم لذيد
234,The best cooki in the world
235,ممتاز الى الاخر
236,Took 2 rials extra prise
237,اخذ مبلغ زياده
238,Superb
239,ممتاز
240,ممتاز
241,￼
242,😍😍💓
243,Great
244,ممتاز
245,لذيذ جدا
246,حلو
247,مره مضبوط كل شي
248,"Very distubed about food size, this time is smaller than last time"
